Sales_ID,OrderDate,Customer_ID,Item,Units,Unit Cost,Total
1,06-01-2021,C1,Pencil,95,1.99,189.05
2,23-01-2021,C2,Binder,50,19.99,999.5
3,09-02-2021,C3,Pencil,36,4.99,179.64
4,26-02-2021,C4,Pen,27,19.99,539.73
5,15-03-2021,C5,Pencil,56,2.99,167.44
6,01-04-2021,C1,Binder,60,4.99,299.4
7,18-04-2021,C6,Pencil,75,1.99,149.25
8,22-05-2021,C7,Pencil,32,1.99,63.68
9,25-06-2021,C8,Pencil,90,4.99,449.1
10,12-07-2021,C9,Binder,29,1.99,57.71
11,29-07-2021,C10,Binder,81,19.99,"1,619.19"
12,15-08-2021,C1,Pencil,35,4.99,174.65
13,01-09-2021,C11,Desk,2,125,250
14,18-09-2021,C1,Pen Set,16,15.99,255.84
15,05-10-2021,C8,Binder,28,8.99,251.72
16,22-10-2021,C1,Pen,64,8.99,575.36
17,25-11-2021,C2,Pen Set,96,4.99,479.04
18,12-12-2021,C11,Pencil,67,1.29,86.43
19,29-12-2021,C10,Pen Set,74,15.99,"1,183.26"
20,15-01-2022,C4,Binder,46,8.99,413.54
21,01-02-2022,C11,Binder,87,15,"1,305.00"
22,07-03-2022,C5,Binder,7,19.99,139.93
23,14-05-2022,C4,Pencil,53,1.29,68.37
24,31-05-2022,C4,Binder,80,8.99,719.2
25,04-07-2022,C1,Pen Set,62,4.99,309.38
26,21-07-2022,C8,Pen Set,55,12.49,686.95
27,07-08-2022,C2,Pen Set,42,23.95,"1,005.90"
28,24-08-2022,C5,Desk,3,275,825
29,10-09-2022,C4,Pencil,7,1.29,9.03
30,27-09-2022,C5,Pen,76,1.99,151.24
31,14-10-2022,C7,Binder,57,19.99,"1,139.43"
32,31-10-2022,C6,Pencil,14,1.29,18.06
33,17-11-2022,C3,Binder,11,4.99,54.89
34,04-12-2022,C3,Binder,94,19.99,"1,879.06"
35,21-12-2022,C6,Binder,28,4.99,139.72
